,date,News Sentiment
172,6/22/2018,-0.1025917828
173,6/23/2018,-0.104840748
174,6/24/2018,-0.1051901802
175,6/25/2018,-0.1193824708
176,6/26/2018,-0.1404832453
177,6/27/2018,-0.1474449784
178,6/28/2018,-0.1435207874
179,6/29/2018,-0.1410679072
180,6/30/2018,-0.1476079226
181,7/1/2018,-0.139501974
182,7/2/2018,-0.1396073848
183,7/3/2018,-0.1408385038
184,7/4/2018,-0.1506541073
185,7/5/2018,-0.1621969342
186,7/6/2018,-0.1640493274
187,7/7/2018,-0.1783328801
188,7/8/2018,-0.1773891747
189,7/9/2018,-0.158249706
190,7/10/2018,-0.1465488225
191,7/11/2018,-0.1524634063
192,7/12/2018,-0.1595900506
193,7/13/2018,-0.1500681639
194,7/14/2018,-0.1492938846
195,7/15/2018,-0.1375114173
196,7/16/2018,-0.1349392384
197,7/17/2018,-0.1323600262
198,7/18/2018,-0.1334033459
199,7/19/2018,-0.137531057
200,7/20/2018,-0.142080456
201,7/21/2018,-0.1328629851
202,7/22/2018,-0.1281311661
203,7/23/2018,-0.1177012697
204,7/24/2018,-0.1082384735
205,7/25/2018,-0.1077900901
206,7/26/2018,-0.09929029644
207,7/27/2018,-0.08451998234
208,7/28/2018,-0.04438566417
209,7/29/2018,-0.04211874306
210,7/30/2018,-0.04994677007
211,7/31/2018,-0.03315186128
212,8/1/2018,-0.02286832966
213,8/2/2018,-0.01505904458
214,8/3/2018,-0.006465155166
215,8/4/2018,-0.01923129521
216,8/5/2018,-0.02981878445
217,8/6/2018,-0.0310355071
218,8/7/2018,-0.04292422533
219,8/8/2018,-0.04101010039
220,8/9/2018,-0.04358513281
221,8/10/2018,-0.02715992928
222,8/11/2018,-0.03989857808
223,8/12/2018,-0.03337298706
224,8/13/2018,-0.03897618875
225,8/14/2018,-0.06382410973
226,8/15/2018,-0.09555675089
227,8/16/2018,-0.1011416018
228,8/17/2018,-0.1035192534
229,8/18/2018,-0.111775808
230,8/19/2018,-0.0857558623
231,8/20/2018,-0.08543115854
232,8/21/2018,-0.06799802184
233,8/22/2018,-0.05812885985
234,8/23/2018,-0.0585054867
